task_name,setting_name,n,probe_trigger_rate,success_rate,mean_force,contact_ratio,probe_obj_displacement,post_probe_object_to_target_distance,motion_ratio,max_object_step_displacement
push the plate to the front of the stove,friction_mu_0.2,10,0.8,0.4,0.0003768387170566732,0.4323269718134258,0.005242268108122517,0.2501118890941143,0.2956771193769035,0.008864085283130407
push the plate to the front of the stove,friction_mu_0.7,10,0.9,0.7,0.00035485573462210686,0.44664523109460275,0.0036614056618418543,0.2511830942498313,0.3223363015669688,0.009266063245013357
push the plate to the front of the stove,mass_scale_0.5,10,0.9,0.2,0.004623832262586803,0.42880741337630945,0.002991863364877645,0.25076192451847923,0.2432294147860507,0.009164616067437237
push the plate to the front of the stove,mass_scale_3,10,0.9,0.4,0.09179162215441465,0.42917995860836483,0.003561426332453266,0.25374750627411735,0.26802915817459594,0.008976375344991539
push the plate to the front of the stove,mass_scale_7,10,1.0,0.5,0.6687067687511444,0.49508100185797305,0.0018083485214447138,0.2519239619374275,0.2697648261963076,0.008342555118724703
put the bowl on the stove,friction_mu_0.2,10,0.9,0.7,9.42923459661002e-05,0.33368424699458954,0.003031773218390299,0.27057913608021206,0.3919495155271585,0.019381684064865113
put the bowl on the stove,friction_mu_0.7,10,0.9,0.8,0.0001237397489603651,0.39952047643341915,0.005788583040703088,0.2687869452767902,0.4349490310039547,0.013423855416476727
put the bowl on the stove,mass_scale_0.5,10,0.9,0.6,0.001966277416795492,0.3151871624888843,0.0058485502726398405,0.2678215205669403,0.343054292388454,0.016587270074523985
put the bowl on the stove,mass_scale_3,10,0.8,0.5,0.048123646154999734,0.3044492807115296,0.004317241488024592,0.26638203486800194,0.3441128979215992,0.018459548912051104
put the bowl on the stove,mass_scale_7,10,0.9,0.7,0.3800768956542015,0.3676508772342458,0.003588643391412916,0.26915014121267533,0.3850556719031992,0.013011978981739957
put the bowl on top of the cabinet,friction_mu_0.2,10,0.8,0.5,0.0002303130048858334,0.3822479590126649,0.008597675967030228,0.353578332811594,0.3507884825994111,0.014867163635790348
put the bowl on top of the cabinet,friction_mu_0.7,10,1.0,0.5,0.00020203334006509976,0.4210337624785985,0.0041098441710346375,0.3571456968784332,0.5225902104662065,0.03205702882260084
put the bowl on top of the cabinet,mass_scale_0.5,10,0.9,0.7,0.0024480295600369574,0.40683490018525204,0.0028991129074711353,0.3595164716243744,0.45756314803252646,0.0213311188028797
put the bowl on top of the cabinet,mass_scale_3,10,1.0,0.6,0.06192376669496298,0.41946691132402725,0.005785889615071938,0.35463753938674925,0.4619801089687371,0.023329794802702964
put the bowl on top of the cabinet,mass_scale_7,10,0.9,0.6,0.35401327908039093,0.36544760959323297,0.0034858087194152175,0.3568320009443495,0.4763075343153565,0.02873671081251814
put the cream cheese in the bowl,friction_mu_0.2,10,1.0,0.4,4.0311162683792646e-05,0.2718335526981877,0.009459968749433756,0.13007317259907722,0.2635976587975659,0.025224842596799135
put the cream cheese in the bowl,friction_mu_0.7,10,1.0,0.1,4.0225754764833256e-05,0.23781793842034804,0.008413687627762557,0.13045972660183908,0.17145271667700845,0.019254188984632492
put the cream cheese in the bowl,mass_scale_0.5,10,1.0,0.0,0.002088183129671961,0.07712418300653595,0.008505527419038117,0.13324182406067847,0.11462666030787841,0.017727455869317055
put the cream cheese in the bowl,mass_scale_3,10,1.0,0.3,0.048625994473695755,0.2582222387132594,0.004638272395823151,0.1328199550509453,0.21327462710230471,0.015101763163693249
put the cream cheese in the bowl,mass_scale_7,10,1.0,0.2,0.36470633521676066,0.22482352941176473,0.0031602462520822884,0.13638998791575432,0.18381667025819118,0.015589468250982463
put the wine bottle on top of the cabinet,friction_mu_0.2,10,0.9,0.8,0.00014334820152726076,0.4714000750056311,0.0036131960921920838,0.38546087013350594,0.5799289860866929,0.0245038284920156
put the wine bottle on top of the cabinet,friction_mu_0.7,10,0.6,0.5,7.887157626101056e-05,0.32244849493091615,0.0007953672611620277,0.3834641029437383,0.4143159622857137,0.012809985131025315
put the wine bottle on top of the cabinet,mass_scale_0.5,10,0.9,0.8,0.008004279481247068,0.5039292386666262,0.0017196909633639735,0.3813622295856476,0.5712687110585182,0.016241334101096072
put the wine bottle on top of the cabinet,mass_scale_3,10,0.9,0.7,0.19887833893299103,0.4787354471793076,0.005048507187166251,0.38259833719995284,0.4828496619141509,0.014665814025102008
put the wine bottle on top of the cabinet,mass_scale_7,10,0.9,0.7,1.3220585823059081,0.49409268526968486,0.0013933479145634919,0.3840113812022739,0.47886407970547784,0.018565814317116746
